headline,url
Live updates: Biden and Japan’s Suga to hold Rose Garden news conference after afternoon of meetings - The Washington Post,https://www.washingtonpost.com/politics/2021/04/16/joe-biden-live-updates/
Here's What to Expect at Apple's 'Spring Loaded' Event - Gizmodo,https://gizmodo.com/heres-what-to-expect-at-apples-spring-loaded-event-1846692303
Royal Family reveals guest list for Prince Philip's funeral - CBS News,https://www.cbsnews.com/news/prince-philip-funeral-guest-list-royal-family/
Ryan Kalil: Jets didn’t let Sam Darnold evolve or make decisions on his own - NBC Sports,https://profootballtalk.nbcsports.com/2021/04/16/ryan-kalil-jets-didnt-let-sam-darnold-evolve-or-make-decisions-on-his-own/
Chicago officials release videos of police shooting that killed 13-year-old Adam Toledo - CBS News,https://www.cbsnews.com/live-updates/adam-toledo-chicago-police-shooting-video/
Nearly 6K fully vaccinated Americans got COVID-19 – out of 66M: CDC - Fox News,https://www.https://nypost.com/2021/04/15/nearly-6k-fully-vaccinated-americans-got-covid-19-out-of-66-million-cdc
J&J Privately Asked Rival Covid-19 Vaccine Makers to Probe Clotting Risks - The Wall Street Journal,https://www.wsj.com/articles/j-j-privately-asked-rival-covid-19-vaccine-makers-to-probe-clotting-risks-11618570802
Hong Kong court jails Jimmy Lai and other prominent activists for 8 to 18 months over 2019 protest - CNN ,https://www.cnn.com/2021/04/16/asia/hong-kong-activists-sentencing-intl-hnk/index.html
Bitcoin falls as Turkey bans cryptocurrency payments - MarketWatch,https://www.marketwatch.com/story/bitcoin-falls-as-turkey-bans-cryptocurrency-payments-11618565622
8 dead in shooting at FedEx facility in Indianapolis: police - WGN TV Chicago,https://wgntv.com/news/8-dead-in-shooting-at-fedex-facility-in-indianapolis-police/
Can The Afghan Army Hold Off The Taliban Without The U.S.? - NPR,https://www.npr.org/2021/04/16/987810008/can-the-afghan-army-hold-off-the-taliban-without-the-u-s
Golden Nuggets: 49ers GM John Lynch ranked 9th overall in Power Rankings - Niners Nation,https://www.ninersnation.com/2021/4/16/22386259/golden-nuggets-49ers-gm-john-lynch-ranked-9th-overall-in-power-rankings
Leaked schematics show significantly larger camera lenses on iPhone 13 Pro Max - 9to5Mac,https://9to5mac.com/2021/04/16/iphone-13-leaked-schematics-camera/
"Iran starts enriching uranium to 60%, its highest level ever - The Associated Press",https://apnews.com/ed89e322595004fddc65fd4e31c1131b
The Democrats’ Giant Dilemma - POLITICO,https://www.politico.com/news/magazine/2021/04/16/john-fetterman-profile-2022-senate-politics-pennsylvania-481259
'A nicer version of Trump': GOP donors flock to DeSantis - POLITICO,https://www.politico.com/news/2021/04/16/desantis-trump-gop-donors-481891
NASA spacecraft leaves mess after grabbing asteroid samples - Phys.org,https://phys.org/news/2021-04-nasa-spacecraft-mess-asteroid-samples.html
Taylor Swift Smashes Records In Australia as ‘Fearless (Taylor’s Version)’ Debuts at No. 1 - Billboard,https://www.billboard.com/articles/news/9557553/taylor-swift-records-australia-fearless-taylors-version-no-1
Washington Football Team fans respond to survey on team’s potential new names - WTOP,http://wtop.com/washington-football/2021/04/washington-football-fans-respond-to-survey-on-teams-potential-new-names/
"Hawaii island allowing vaccinated travelers to skip post-arrivals COVID test, plans to stop second tests May 1 - Honolulu Star-Advertiser",https://www.staradvertiser.com/2021/04/15/breaking-news/hawaii-island-allowing-vaccinated-travelers-to-skip-post-arrivals-covid-test-plans-to-stop-second-tests-may-1/
